"source_college","target_university","major","academic_year","required_uc_course_or_area","articulated_ccsf_course","notes","raw_agreement_url_or_id"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 1","SPAN 1A AND SPAN 1B OR SPAN 1","SPANISH 1: Elementary Spanish","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 2","SPAN 2A AND SPAN 2B OR SPAN 2","SPANISH 2: Elementary Spanish","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 3","SPAN 3A AND SPAN 3B OR SPAN 3","SPANISH 3: Intermediate Spanish","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 21","No Course Articulated","SPANISH 21: Spanish for Bilingual Students, First Course","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 4","SPAN 6A AND SPAN 6B","SPANISH 4: Intermediate Spanish","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 22","No Course Articulated","SPANISH 22: Spanish for Bilingual Students, Second Course","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Spanish and Portuguese, B.A.","2025-2026","SPANISH 25","No Course Articulated","SPANISH 25: Reading and Analysis of Literary Texts","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F07a12c1d-4d99-4763-aca9-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 51","MATH 110A","MATH 51: Calculus I","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 52","MATH 110B","MATH 52: Calculus II","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 53","MATH 110C","MATH 53: Multivariable Calculus","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 54","MATH 130 OR MATH 120 AND MATH 125","MATH 54: Linear Algebra and Differential Equations","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 56","No Course Articulated","MATH 56: Linear Algebra","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 53","MATH 110C","MATH 53: Multivariable Calculus","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 54","MATH 130 OR MATH 120 AND MATH 125","MATH 54: Linear Algebra and Differential Equations","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","MATH 56","No Course Articulated","MATH 56: Linear Algebra","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","STAT 20","No Course Articulated","STAT 20: Introduction to Probability and Statistics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","DATA C8","MATH 108","DATA C8: Foundations of Data Science","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Statistics, B.A.","2025-2026","STAT 2","ECON 5 OR LALS 5 OR STAT C1000 OR PSYC 5","STAT 2: Introduction to Statistics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F7ef82129-fa6a-42b3-acab-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","ENV DES 1","ARCH 100 AND GEOG 4","ENV DES 1: Introduction to Environmental Design","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","LD ARCH 12","ENVS 31","LD ARCH 12: Environmental Science for Sustainable Development","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","MATH 16A","MATH 100A","MATH 16A: Analytic Geometry and Calculus","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","MATH 51","MATH 110A","MATH 51: Calculus I","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","STAT 2","ECON 5 OR LALS 5 OR STAT C1000 OR PSYC 5","STAT 2: Introduction to Statistics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","STAT C8","MATH 108","STAT C8: Foundations of Data Science","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","STAT 20","No Course Articulated","STAT 20: Introduction to Probability and Statistics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","STAT 21","No Course Articulated","STAT 21: Introductory Probability and Statistics for Business","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","PHYSICS 7A","PHYC 4A AND PHYC 4AL","PHYSICS 7A: Physics for Scientists and Engineers","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","PHYSICS 8A","PHYC 2A AND PHYC 2AL AND PHYC 2AC","PHYSICS 8A: Introductory Physics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","ECON 1","ECON 1 AND ECON 3","ECON 1: Introduction to Economics","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
"CCSF","UC Berkeley","Sustainable Environmental Design, B.A.","2025-2026","ECON 2","No Course Articulated","ECON 2: Introduction to Economics, Lecture Format","https://www.assist.org/transfer/results?year=76&institution=33&agreement=79&agreementType=to&viewAgreementsOptions=true&view=agreement&viewBy=major&viewSendingAgreements=false&viewByKey=76%2F33%2Fto%2F79%2FMajor%2F237fb5e5-2100-49f6-accc-08ddbf3f4ee7"
